Startup Name,Industry,Country,Funding Stage,Amount Raised (USD),Funding Date,Number of Employees
Wilkins and Sons,Gaming,Netherlands,IPO,244628922.0,2021-06-03,387
"Wright, Ramirez and Gay",SaaS,Netherlands,Series C,94561330.0,2019-10-25,175
"Sanders, Morse and Morgan",Health,Canada,Series C,195603207.0,2025-10-01,352
Olson-Smith,Education,Australia,Seed,419458.0,2023-01-11,430
Perkins-Smith,Education,Canada,Series A,2724096.0,2020-03-12,6
Scott-Taylor,Gaming,Netherlands,Series B,22280925.0,2021-02-10,464
"Chavez, Blair and Sanders",Tech,Australia,Series C,154209563.0,2025-10-26,273
Hall-Shepard,SaaS,UK,Seed,147770.0,2021-09-07,416
Orr-Jensen,Finance,Australia,Series A,6174658.0,2020-10-05,165
Jones-Smith,SaaS,India,Series A,6992269.0,2024-10-15,332
"Watson, Simmons and Carlson",SaaS,France,Series A,5623715.0,2017-03-28,358
Dominguez Inc,E-commerce,France,Series A,4211197.0,2021-10-07,179
Le-Hutchinson,Finance,UK,Series C,88187336.0,2023-12-20,249
Espinoza Inc,E-commerce,France,Seed,203693.0,2025-09-13,82
Simon-Davis,E-commerce,India,Series B,32975204.0,2023-10-22,310
Martinez PLC,SaaS,India,Seed,347565.0,2023-08-23,6
Wang Ltd,Finance,Canada,Series B,26679516.0,2020-05-08,426
Gomez-Guerrero,Tech,UK,Series B,45267957.0,2017-02-17,302
Jordan-Middleton,E-commerce,France,Series B,12783700.0,2018-04-17,290
"Rivers, Butler and Gonzalez",Education,India,Series A,8781005.0,2017-11-01,11
Kim-Rivera,SaaS,Australia,Series A,6974894.0,2016-08-20,36
"Bryan, Mclaughlin and Morgan",Tech,USA,Seed,123092.0,2023-09-22,292
Orozco LLC,E-commerce,USA,Series B,38277476.0,2022-09-13,442
Cisneros-Austin,AI,Australia,Series C,123461563.0,2018-12-16,376
Neal-Estes,AI,USA,Series A,1902522.0,2025-05-05,187
Casey-Taylor,Gaming,Australia,Series B,37307404.0,2025-01-29,270
Williams-Mccann,Gaming,Netherlands,Seed,283484.0,2023-09-10,90
Lopez-Jackson,Gaming,USA,Series C,70319908.0,2025-04-08,268
Harris-Delacruz,Gaming,Germany,Series C,62431724.0,2017-07-16,479
"Merritt, Davidson and Garcia",Finance,France,Series C,143283409.0,2016-09-26,447
Estrada Ltd,Tech,Australia,Series A,3484443.0,2023-06-23,482
Valencia Group,Education,Netherlands,Series B,18778817.0,2025-08-30,217
Tyler-Bennett,Tech,UK,Series A,5119766.0,2019-01-12,148
Dixon PLC,AI,Germany,Series C,151848008.0,2016-05-18,40
Jackson-Roberts,SaaS,USA,Series A,9953206.0,2020-09-24,162
Smith-Williams,Finance,Germany,Series A,9642237.0,2022-05-31,176
Ross PLC,Health,UK,Series C,155112741.0,2017-05-03,34
"Nguyen, Erickson and Stone",Gaming,UK,Series B,21329545.0,2016-05-03,266
Mcbride PLC,Health,Canada,Series A,1790550.0,2017-07-24,95
Blake-Olsen,Health,Netherlands,Series C,108194768.0,2016-04-13,239
Riddle-West,Tech,Australia,Series C,70399398.0,2020-06-08,499
Butler-Price,Tech,France,Series C,60320036.0,2019-12-31,296
Mcintyre Inc,SaaS,Australia,Series A,9592917.0,2025-12-17,31
Rodriguez Ltd,Education,France,Series B,30973989.0,2022-12-08,335
"Wall, Poole and Martinez",E-commerce,India,Series B,47416183.0,2017-08-03,217
Harvey-Cruz,Education,France,Series C,127119492.0,2021-07-14,65
Reynolds-Hayes,Gaming,Netherlands,Seed,491798.0,2023-05-09,62
"Duarte, House and Foster",Gaming,Australia,IPO,662206620.0,2023-04-09,114
Wilson Group,Finance,France,IPO,986753685.0,2021-07-19,441
Walter and Sons,Finance,Australia,Series C,60872663.0,2021-12-06,176
Brown-Hamilton,Education,Australia,Seed,65434.0,2024-04-14,289
"Hamilton, Martin and Garrison",Tech,Canada,Series B,16374337.0,2017-10-08,352
Whitaker Inc,Health,India,Series C,80540776.0,2016-10-21,314
"Santiago, Howell and Lewis",AI,France,Series C,176629840.0,2019-03-30,84
Bell LLC,Finance,India,Series A,1213482.0,2025-05-20,290
Smith-Michael,Tech,Germany,Seed,154802.0,2024-12-02,422
"Osborne, Ortiz and Hutchinson",Gaming,France,Series A,5784593.0,2016-07-21,307
Blair Inc,E-commerce,Australia,IPO,251453924.0,2025-05-19,128
"Andrews, Mathews and Jones",E-commerce,Netherlands,Seed,171896.0,2017-09-27,121
Phillips-Perez,Finance,USA,IPO,713613103.0,2016-11-19,196
Cardenas-Hamilton,Education,France,Series C,161962803.0,2025-11-25,290
Baldwin PLC,E-commerce,Australia,Series B,47435141.0,2018-03-04,403
King and Sons,Education,Australia,IPO,848802531.0,2019-03-08,20
Stark PLC,Health,UK,Series C,190765722.0,2023-01-14,370
Meyer Ltd,Tech,Netherlands,Series A,3706470.0,2020-12-23,222
Stevens-Carlson,AI,Germany,Series C,136290134.0,2020-06-24,174
Hill-Roberts,Gaming,Germany,Series B,25739608.0,2019-01-26,9
Mccormick-Johnson,AI,France,Seed,320042.0,2016-01-16,283
Cox Group,E-commerce,India,Series C,132771070.0,2019-01-14,113
"Gonzalez, Young and Miles",AI,UK,IPO,381089316.0,2018-02-07,494
Jones-Strong,SaaS,Netherlands,Series A,1123586.0,2018-09-02,232
Barnes-Johnson,E-commerce,India,Series C,141496973.0,2025-03-23,259
Day LLC,Finance,Netherlands,Series B,10838358.0,2019-09-11,387
Green and Sons,Health,UK,Series C,99349010.0,2024-03-29,468
Perez-Short,Education,Canada,Series B,25100233.0,2020-11-02,327
Medina LLC,AI,Germany,IPO,565056977.0,2019-05-03,346
Howard-Martin,E-commerce,India,Series A,4179977.0,2018-05-04,15
Dyer-Wilson,AI,France,Series A,5316508.0,2022-09-15,233
Hall-Ross,E-commerce,India,Seed,430438.0,2017-05-05,400
Johnson-Wright,Gaming,Germany,Series C,77779747.0,2020-05-10,179
Simpson-Patrick,Tech,Canada,Series A,6094240.0,2023-09-12,480
Blackwell-Little,Tech,Australia,Series C,97078827.0,2017-02-15,80
"Anderson, Roman and Turner",Gaming,Canada,Series B,48868976.0,2018-04-22,105
Miller-Rivera,Gaming,Netherlands,IPO,349757306.0,2024-12-30,46
Bell-Walker,AI,Canada,Series A,8414518.0,2016-08-03,276
"Horne, Fox and Harrison",E-commerce,Germany,Series A,7081348.0,2021-12-30,496
Pope Ltd,SaaS,France,IPO,709606242.0,2020-05-15,98
"Ortiz, Lee and Gibson",Finance,Netherlands,IPO,605903290.0,2021-02-06,189
"Martinez, Randall and Mckenzie",Education,Germany,Seed,429016.0,2016-02-17,200
Murphy-Lewis,Gaming,UK,IPO,261937503.0,2021-02-12,174
Harper-Townsend,E-commerce,France,Series A,2240075.0,2018-05-23,176
"Davis, Hawkins and Garcia",Tech,Netherlands,IPO,413687725.0,2022-11-11,149
Hayes LLC,Gaming,Australia,Series B,39887792.0,2020-11-19,209
Hernandez-Hodges,Education,France,IPO,205140921.0,2016-10-20,392
"Hoover, Clark and Jimenez",E-commerce,Canada,Series B,25414357.0,2024-11-23,46
Cox-Hernandez,Education,USA,Series B,38185725.0,2023-11-29,225
Warren-Snyder,Finance,UK,IPO,832906544.0,2018-01-05,216
"Martin, Martinez and Jackson",Education,India,Series A,1507919.0,2019-05-08,403
Miles and Sons,AI,India,IPO,224924230.0,2022-09-01,68
Carter-Jones,E-commerce,Germany,Seed,87572.0,2021-09-03,213
Mccarthy-Parker,Finance,USA,Series C,140391660.0,2020-09-30,441
Garcia-Perry,AI,Germany,IPO,901050726.0,2025-06-01,346
Smith Group,Tech,India,Series A,7232971.0,2020-09-05,127
Pena Ltd,Gaming,UK,IPO,758938775.0,2017-06-10,24
"Key, Mitchell and Becker",AI,Netherlands,Series B,14045852.0,2020-08-07,361
Lin Inc,Education,UK,Seed,157556.0,2018-09-26,447
"Reilly, Pham and Nelson",AI,Netherlands,Series A,6819208.0,2022-10-24,136
Jackson-Smith,AI,Australia,IPO,229095899.0,2016-04-16,474
Lopez Group,Finance,France,Series B,32346561.0,2016-02-11,486
"Palmer, Sherman and Bass",Finance,UK,IPO,451831504.0,2016-06-23,31
Bruce and Sons,Health,UK,Series A,8967797.0,2019-02-08,430
Byrd PLC,SaaS,Germany,Series B,13970643.0,2025-06-06,203
Mcdaniel-Wilson,Gaming,India,Series B,33741485.0,2019-06-03,255
"Williams, Buck and Miller",Education,India,IPO,943849968.0,2019-04-09,329
Johnson-Barnes,SaaS,France,Series A,2376733.0,2018-03-21,329
Hart PLC,Finance,India,Seed,333047.0,2022-10-03,277
Lee Ltd,Tech,France,IPO,481771034.0,2020-03-27,134
"Bishop, Williams and Hale",E-commerce,India,Seed,429444.0,2024-11-13,341
Lopez-Esparza,Gaming,UK,IPO,427798573.0,2018-11-26,410
Hale-Curtis,Education,Canada,Series A,4170636.0,2021-07-31,162
Tucker-Ellison,Tech,USA,Series C,152111783.0,2022-03-21,220
Foley LLC,AI,Germany,IPO,339319038.0,2023-03-07,95
Sims-Bentley,Gaming,France,Series A,3315674.0,2021-05-07,266
Castro-Lewis,Tech,UK,Seed,341737.0,2021-08-23,57
Moore LLC,Education,France,Series B,36750615.0,2020-07-10,5
Harrington-Burch,Finance,Australia,Series A,6831151.0,2021-04-14,175
"Murphy, Wilson and Fischer",Finance,Germany,Series A,1364067.0,2021-03-16,299
Peterson-Duncan,Education,Canada,Series B,45124392.0,2017-05-16,107
Sawyer and Sons,AI,Netherlands,Series A,3992929.0,2024-12-21,17
York Group,AI,France,Series C,106822557.0,2022-01-06,94
"Roberts, Beck and Hernandez",SaaS,India,Series B,33433866.0,2020-07-11,442
Wood PLC,Education,Netherlands,Series C,160381897.0,2018-10-09,166
Carlson-Rose,E-commerce,Canada,Series B,18254933.0,2025-10-16,494
Meyer-Williams,Education,Netherlands,Seed,258280.0,2022-10-15,457
"Flores, Grimes and Carlson",Education,Australia,Series C,118002316.0,2024-04-27,12
Campbell Inc,Finance,USA,Series A,2734388.0,2017-10-06,398
"Walker, Buckley and Bird",Finance,UK,Series A,6311865.0,2019-06-30,385
Adams Inc,Health,UK,Series C,144893173.0,2022-12-20,159
Williams-Gonzalez,E-commerce,France,Seed,336643.0,2021-07-29,317
"Ortega, Mosley and Valdez",Gaming,Germany,Series A,2035813.0,2021-05-31,420
Lopez-Benton,Tech,USA,Seed,340101.0,2019-06-16,53
Bailey-Oliver,Education,Canada,IPO,394492785.0,2018-03-31,31
Morales PLC,AI,UK,Series C,97798553.0,2022-07-13,173
"Dawson, Hill and Cooper",Tech,Australia,Series C,175357141.0,2018-12-22,209
Potts-Newman,E-commerce,Germany,Seed,189034.0,2016-07-26,234
"Jarvis, Kim and Walker",Tech,Canada,Series B,13664370.0,2021-09-07,478
"Myers, Cook and Miller",Tech,Australia,IPO,847287132.0,2025-11-19,108
"Gonzalez, Ochoa and Sims",Health,India,Series A,2783232.0,2024-07-06,373
"Berry, Coffey and West",SaaS,Germany,IPO,568855003.0,2018-07-15,127
Johnson-Moore,Education,France,Seed,357530.0,2016-07-16,186
"Martin, Odonnell and Wolf",Health,Netherlands,Series C,70226969.0,2016-04-14,7
Santos-Weber,Health,India,IPO,218530529.0,2020-01-22,157
Calderon Inc,Finance,Canada,Series B,41787065.0,2021-12-30,34
Greene LLC,SaaS,USA,Series C,100242846.0,2020-06-29,478
Powell Ltd,Education,Netherlands,Series A,4911983.0,2022-06-20,172
"Levy, Gonzalez and Jackson",SaaS,Australia,Seed,237826.0,2016-05-16,81
Bullock Ltd,Tech,Australia,Series C,154998747.0,2019-08-07,87
Barker Group,Finance,Canada,Series C,102875596.0,2022-08-04,193
Moreno-Bell,SaaS,India,Series B,49784901.0,2024-01-17,253
Gonzalez-Robertson,SaaS,USA,Seed,430427.0,2016-12-19,52
King Group,Tech,Netherlands,Seed,126757.0,2018-06-06,209
Mckinney LLC,Education,France,Series A,3371464.0,2023-04-29,133
Smith-Watson,SaaS,Germany,Series A,4312493.0,2023-03-30,135
Werner Group,Education,France,Seed,134026.0,2025-06-17,73
Brown-Evans,Health,Australia,Series C,195896859.0,2021-03-07,474
Lawson Inc,E-commerce,UK,Series B,42006772.0,2017-01-29,106
Hernandez-Hill,Education,Canada,Series C,107690942.0,2018-12-12,42
Ramsey-Lloyd,Finance,USA,Seed,386531.0,2020-07-24,124
Krause-Holmes,Gaming,Australia,Seed,354625.0,2017-01-06,322
"Rodriguez, Johnson and Dixon",Health,UK,Series B,13740551.0,2017-03-09,410
Johnson-Miller,Health,USA,Series A,4790238.0,2018-04-12,444
"Collins, Wheeler and Marquez",Education,Canada,IPO,809610567.0,2018-09-11,75
"Hoffman, White and Sanchez",Finance,Canada,Seed,465420.0,2019-07-01,395
"Martinez, Vasquez and Campbell",Health,USA,Series B,18439218.0,2023-10-01,352
"Warren, Collins and Li",Tech,Australia,Series B,46256447.0,2021-08-27,287
Davis LLC,Gaming,India,Series C,131841184.0,2022-06-15,62
Hicks-Shaffer,Health,Germany,IPO,488295200.0,2018-04-04,293
"Nielsen, Medina and Moore",Education,France,Series C,161633571.0,2023-11-19,123
"Dawson, Martinez and Schmitt",E-commerce,Canada,Seed,395282.0,2017-05-09,112
Stuart PLC,E-commerce,Canada,Series C,96897710.0,2020-04-04,304
"Foster, Ruiz and Phillips",Finance,Germany,Seed,142270.0,2020-10-16,295
Velez-Winters,Health,France,Series A,9578776.0,2018-03-07,216
Palmer Ltd,AI,Netherlands,Seed,205676.0,2021-02-22,257
Conley Group,Finance,USA,Series A,4912457.0,2025-08-31,283
"Terrell, Fisher and Hill",E-commerce,USA,Seed,466912.0,2020-05-14,194
Trujillo PLC,Finance,Netherlands,Series A,7730334.0,2020-03-29,356
"Wilson, Hickman and Hutchinson",Health,Canada,Series C,108969093.0,2016-11-25,398
"Miller, Gonzales and Rogers",Health,Germany,Seed,395480.0,2023-12-14,239
"Douglas, Burke and Rodriguez",Education,Canada,Series B,30308475.0,2021-12-19,58
Anderson Ltd,Health,Netherlands,Series B,42191666.0,2016-10-25,341
"Woods, Mills and Matthews",Gaming,UK,IPO,511458461.0,2021-03-25,305
Meyer-Ward,AI,France,IPO,522846956.0,2024-01-26,27
Ferguson Ltd,Tech,USA,Series A,1861927.0,2016-11-13,283
Brown-Patton,Health,Netherlands,Seed,412824.0,2021-07-03,263
Young-Drake,SaaS,Australia,Series B,49879890.0,2017-09-19,191
Mcpherson-Wright,Tech,USA,Series C,118604719.0,2021-09-29,177
Werner LLC,Tech,Netherlands,Seed,281943.0,2024-12-13,180
Santos PLC,Finance,India,Series C,68314125.0,2020-05-18,249
"Cameron, Hughes and Sanders",Gaming,Australia,Seed,420448.0,2019-03-12,418
Rodriguez-Ortega,Gaming,Australia,Seed,69188.0,2019-06-05,294
"Stein, Ortiz and Bradley",Tech,UK,Series C,139293215.0,2022-06-27,96
"Rose, Leonard and Adkins",Tech,Netherlands,Series A,5029518.0,2019-04-27,179
Colon-Roman,Education,UK,Seed,460436.0,2022-01-27,483
Walker-Palmer,Gaming,Netherlands,Series C,165970538.0,2023-11-16,58
Stanton-Casey,Finance,USA,Seed,435207.0,2016-11-29,444
"Williams, Juarez and Sanders",SaaS,Germany,Seed,362069.0,2018-09-06,131
Deleon-Russell,Gaming,USA,IPO,579954974.0,2017-08-18,420
"Burton, Harper and Mcdaniel",SaaS,India,IPO,329798634.0,2023-01-10,230
White-Jackson,Education,USA,Series C,94665370.0,2019-08-03,207
Meyer-Edwards,SaaS,India,Series C,160612724.0,2020-12-20,181
"Hernandez, Kemp and Price",SaaS,Netherlands,Seed,474907.0,2022-10-06,357
Pearson-Hawkins,E-commerce,France,Series B,33549544.0,2024-05-07,266
Mathews PLC,Finance,France,Series B,45802539.0,2023-06-15,112
Morgan Group,AI,France,Series A,1446990.0,2024-08-07,63
Garcia-Rivers,Health,India,Series B,49359490.0,2016-11-15,432
"Martinez, Perry and Porter",Health,Canada,IPO,635048538.0,2020-12-06,220
"Arias, Gray and Foster",Health,Germany,Series A,7009871.0,2016-05-22,70
Stewart Group,Tech,Netherlands,Series C,196648298.0,2018-01-27,168
"Brown, Crawford and Sandoval",Education,Canada,Series C,65915685.0,2020-11-15,292
Frye-Cochran,Finance,Germany,Series C,136642332.0,2019-10-29,434
Mcdonald-Becker,Education,Netherlands,Series B,36233113.0,2025-03-23,272
Fleming Group,Gaming,USA,Series A,5836975.0,2020-08-09,414
"Morales, Gomez and Clark",SaaS,France,Series B,36288359.0,2021-02-25,433
Yu-Sexton,Gaming,Australia,Series B,12245152.0,2023-11-08,494
"Lopez, Bennett and Beck",Gaming,Germany,IPO,342546487.0,2022-06-23,172
Gibson-Johnson,Finance,USA,Series C,59845800.0,2025-01-23,233
Baker-King,SaaS,India,IPO,856659717.0,2019-06-27,450
"Smith, Cherry and Johnson",Gaming,USA,Series C,117513922.0,2023-08-26,423
"Keller, Combs and Cook",Education,Canada,Seed,98815.0,2025-06-12,488
Luna Ltd,SaaS,India,Seed,267046.0,2020-12-28,122
"Mendoza, Sanchez and Roberts",E-commerce,France,IPO,368844394.0,2017-04-27,152
"Blake, Holmes and Medina",E-commerce,Netherlands,Seed,267614.0,2024-07-27,120
Butler-Hughes,AI,Netherlands,Series C,184169740.0,2016-12-19,370
"Smith, Collins and Martinez",AI,Australia,IPO,636171912.0,2019-04-23,146
Mckinney-Smith,Tech,Canada,Series B,16104111.0,2021-08-28,208
"Pineda, Griffin and Thompson",AI,UK,Series B,37181827.0,2024-05-31,272
Leach-Hamilton,Gaming,Canada,Series B,11288356.0,2019-05-21,335
Perez-Anderson,Gaming,India,Series C,156769582.0,2019-12-27,20
"Garcia, Greene and Murray",Gaming,Netherlands,Series C,189047606.0,2017-11-22,493
Howard-Lowery,Education,UK,Seed,349133.0,2022-02-03,135
Osborne PLC,Gaming,France,Series A,8392211.0,2018-05-30,333
"Hill, Jones and Larson",Education,Canada,Series B,36944429.0,2024-07-29,257
Fleming-Rodriguez,Education,Australia,Series C,142360284.0,2023-12-10,153
"Green, Jones and Schmidt",Finance,India,Series C,177721334.0,2021-12-29,439
Thomas LLC,Tech,Australia,Seed,469457.0,2025-06-22,375
Wagner LLC,Tech,Germany,Series A,6445259.0,2016-12-12,307
"Potter, Montgomery and Bender",Health,UK,Series A,4148503.0,2021-11-14,58
Parker and Sons,AI,France,Series B,30389159.0,2020-11-01,150
Perez Ltd,E-commerce,USA,Seed,91775.0,2020-09-26,61
Mueller LLC,Finance,Canada,Series C,181464189.0,2025-05-15,22
Diaz-White,E-commerce,Australia,Series A,8843684.0,2016-01-13,339
Powell and Sons,Health,UK,IPO,391006460.0,2020-07-21,91
Clay-Smith,Finance,Germany,Series A,8800296.0,2024-01-08,116
Boyer PLC,SaaS,Canada,Seed,362686.0,2021-12-28,387
"Cantu, Hayes and Wells",Tech,India,Series A,3624428.0,2022-11-02,268
"Gentry, Butler and Baker",E-commerce,Australia,IPO,854989932.0,2023-06-17,328
Young-Woods,E-commerce,Australia,Series B,31941823.0,2020-11-10,146
"Gonzalez, Martin and Smith",SaaS,France,Series C,71592049.0,2025-12-12,147
Riggs PLC,Health,India,Series C,105707539.0,2020-11-14,131
Holmes Ltd,AI,UK,Series B,46318289.0,2017-09-30,362
Dixon Inc,Tech,Germany,Series C,74130019.0,2023-12-16,86
"Harris, Jones and Brown",Gaming,India,IPO,374697963.0,2024-07-27,368
Mccarthy-King,Tech,Netherlands,Series C,155744827.0,2021-03-13,135
"Beck, Bruce and Gonzales",Health,Germany,IPO,388246887.0,2021-10-31,323
Sullivan-Nguyen,Gaming,Australia,Seed,402873.0,2017-12-24,76
Massey-Jones,E-commerce,Germany,Series C,164756941.0,2019-08-14,156
"Bright, Price and Chandler",Tech,Canada,IPO,956393809.0,2017-08-18,93
Jackson-Collins,Finance,UK,Seed,413672.0,2019-11-20,310
Cole and Sons,Tech,UK,Series B,24116950.0,2021-01-07,229
Jimenez-Herring,AI,Germany,Series C,158987592.0,2021-03-23,404
Dickerson Group,Finance,India,Series A,9887309.0,2016-06-20,251
Shaw Inc,Gaming,Netherlands,IPO,783031525.0,2016-07-22,308
Allen Group,E-commerce,India,Series B,37820450.0,2017-04-11,282
"Thornton, Gonzalez and Hughes",Finance,India,Series C,139484555.0,2024-11-18,396
"Hall, Cross and Johnson",Gaming,France,Series B,47767482.0,2018-01-31,380
"Everett, Garza and Lutz",E-commerce,Germany,IPO,982175112.0,2019-06-17,161
Miller and Sons,Finance,Germany,Seed,450236.0,2016-04-02,166
"Perez, Serrano and Robinson",E-commerce,Australia,Seed,349112.0,2024-02-23,107
"Olson, Michael and Miller",SaaS,France,IPO,687893639.0,2016-09-17,380
Boyd Ltd,Gaming,Canada,Series B,19909962.0,2018-11-25,401
Choi Group,Gaming,Canada,Series C,95784186.0,2016-01-17,139
"Cooke, Campbell and Nguyen",SaaS,France,Series A,9395788.0,2024-03-20,278
Duran Inc,E-commerce,Germany,IPO,621581653.0,2020-05-11,16
Hernandez-Carter,Education,France,Seed,86916.0,2017-05-28,85
Aguirre PLC,Education,Canada,Series A,5115928.0,2017-06-20,106
"Graham, Harris and Miller",AI,USA,IPO,567405898.0,2019-08-16,439
Mcguire-Johnson,Finance,Australia,Series B,30960558.0,2017-05-25,62
Simmons LLC,SaaS,Australia,IPO,851282785.0,2023-05-02,489
Davis Group,Tech,Netherlands,Seed,52786.0,2016-05-09,363
"Stevenson, Schmidt and Carlson",Education,Australia,Seed,87938.0,2016-11-13,312
"Henson, White and Warren",SaaS,Australia,Seed,86050.0,2022-08-21,499
Waller Inc,AI,UK,Series A,8029787.0,2020-09-24,420
Carter-Lawson,Gaming,UK,Series A,5007728.0,2019-02-04,45
"Burgess, Smith and Mason",Health,France,Seed,439020.0,2020-01-25,484
Cook Inc,AI,Australia,IPO,746492853.0,2023-01-28,324
"Sullivan, Miller and Swanson",AI,Germany,Series A,2362296.0,2021-11-21,207
Meadows Inc,Tech,Germany,Series B,28187364.0,2022-03-18,477
Cervantes-Thomas,AI,Australia,Series B,19402158.0,2023-05-18,328
Carey Group,Gaming,UK,IPO,968193644.0,2019-05-26,140
Carson-Davis,AI,USA,Seed,109674.0,2025-09-20,74
Thomas-Hill,Education,Netherlands,Series C,167742943.0,2021-08-20,151
Fuller Ltd,SaaS,UK,IPO,586569582.0,2025-08-19,110
"Lee, Lozano and Schultz",SaaS,Netherlands,Seed,439408.0,2017-04-01,261
Montgomery Inc,E-commerce,Netherlands,Series C,104464080.0,2016-04-11,208
"Robinson, Lane and Thornton",Health,UK,Series C,165554440.0,2017-09-07,267
"Little, Jackson and Davis",Education,India,Series B,47103410.0,2024-12-11,365
"Herrera, Castillo and Hoffman",Finance,India,IPO,643328696.0,2021-10-06,25
"Hall, Dawson and Jones",Education,France,Seed,407662.0,2024-09-12,425
Young-Rangel,SaaS,UK,Seed,424470.0,2019-03-04,422
"Barrett, Smith and Brooks",Finance,Australia,IPO,391574986.0,2025-04-22,425
Diaz-Johnson,Gaming,Germany,Series C,142518683.0,2018-02-26,43
"Williams, Ferguson and Scott",AI,USA,IPO,577065571.0,2022-12-18,461
Patterson Inc,Health,USA,Series C,101924798.0,2025-01-23,253
Sharp-Hines,Education,Canada,Series C,109653299.0,2023-12-09,428
"Rodgers, Hall and Norris",Education,Canada,Series A,7594948.0,2019-11-12,81
Hicks Inc,SaaS,USA,Series B,19962792.0,2020-05-05,114
Cantu LLC,Finance,Australia,Series C,110056307.0,2021-10-05,328
"Koch, Morales and Klein",AI,Australia,Series A,2708740.0,2025-04-20,238
Jenkins-Williams,Finance,USA,Series C,89593704.0,2020-05-04,48
Flores-Rodriguez,AI,France,Seed,279259.0,2025-04-06,41
Gonzales-Waters,Gaming,Germany,IPO,470113146.0,2019-07-17,441
Flores-Gonzalez,E-commerce,India,IPO,436349468.0,2025-11-03,136
Doyle-Wood,E-commerce,Germany,Series B,18748438.0,2017-11-01,326
"Shelton, Kelly and Allen",Gaming,France,Series B,25789870.0,2024-05-28,199
"Snyder, Thompson and Washington",SaaS,UK,Series C,158142375.0,2021-04-07,210
"Fleming, Good and Washington",Finance,USA,Series B,17226425.0,2021-04-25,304
Campbell-Miller,Tech,UK,Seed,209456.0,2024-06-24,146
Ford-Rice,AI,France,IPO,442385339.0,2020-03-21,309
Nelson-Rivera,Finance,Netherlands,IPO,723691232.0,2025-12-30,31
"Curtis, Simpson and Ware",Tech,Netherlands,Series B,48106618.0,2016-12-24,424
Ruiz-Lawson,Tech,Germany,IPO,637938305.0,2021-08-15,35
Cruz LLC,Tech,UK,Series C,144940861.0,2025-02-09,297
Ramsey-Graham,Tech,Australia,Series B,43158098.0,2018-09-18,301
"Williams, Thompson and Delgado",E-commerce,Canada,Seed,110981.0,2022-06-07,425
Mcbride-Lee,Health,India,Series B,33912027.0,2022-04-16,393
Johnson Inc,SaaS,USA,Series A,1207309.0,2019-06-16,237
"Olson, Guerra and Kim",Finance,USA,Series C,120029042.0,2023-08-10,133
"Brown, Hernandez and Caldwell",AI,France,Series B,31650981.0,2019-07-21,132
Williams-Bennett,Finance,Germany,Series B,49292893.0,2023-07-25,287
Martinez-Roberts,AI,Netherlands,Series A,1936912.0,2020-02-24,423
"Roy, Patrick and Jones",E-commerce,France,IPO,447479215.0,2023-04-10,440
Maxwell-Miller,E-commerce,Canada,Series A,6329342.0,2022-01-20,474
Davis Ltd,Tech,France,Seed,480963.0,2022-09-20,417
Adkins-Harris,Tech,Netherlands,Series B,46490105.0,2016-03-03,287
"Wiggins, Nguyen and Williams",Health,Netherlands,Series A,5466989.0,2023-02-02,226
Ellison Inc,E-commerce,UK,Series C,84712990.0,2020-09-23,50
Mora and Sons,Tech,Australia,Series A,6797713.0,2016-08-15,385
"Warren, Pena and Gonzalez",E-commerce,India,Series A,4676251.0,2019-01-23,406
Ramirez-Atkinson,Finance,Australia,Seed,86615.0,2016-11-10,307
"Allen, Smith and Grant",Education,Canada,Series B,45741902.0,2019-04-09,440
"Neal, Phillips and Walker",SaaS,India,Series A,6695342.0,2016-01-17,13
"Daugherty, Branch and Mays",Health,Canada,Seed,56746.0,2020-11-11,47
"Cook, Buchanan and Mercer",Education,UK,Series A,5460790.0,2017-05-07,319
Nixon-Roberts,SaaS,USA,Series B,14748655.0,2024-05-25,223
"Graves, Scott and Martinez",E-commerce,UK,Series B,13880481.0,2022-12-22,287
"Boyd, Hall and Daniels",Education,India,Seed,131611.0,2023-09-19,119
"Strong, Black and Banks",E-commerce,Canada,Series C,157761007.0,2020-09-28,213
Jensen-Williams,Health,USA,Series A,6266603.0,2023-07-09,197
Stephens Ltd,Health,UK,Series B,45849035.0,2023-01-30,124
Jones Ltd,Education,Germany,Series C,90819515.0,2022-03-14,157
Stevenson-White,E-commerce,India,IPO,966148460.0,2023-09-27,182
"Rodriguez, Boyd and Gregory",Tech,Germany,Seed,221730.0,2025-08-07,387
Campbell Group,E-commerce,Netherlands,Series B,40388551.0,2017-01-16,35
Collier Ltd,SaaS,UK,Series C,85628721.0,2018-10-02,85
Keller Group,E-commerce,France,Series B,13293861.0,2021-10-08,488
Hernandez-Pope,Finance,Australia,Series B,33751366.0,2016-05-08,163
"Hanna, Molina and Herrera",Gaming,France,Series A,3049857.0,2020-10-03,128
Frey-Morgan,E-commerce,UK,Series C,164755468.0,2017-09-26,159
Foster-Mosley,Health,Australia,Series A,7824167.0,2022-05-03,25
Hudson-Paul,Education,Germany,IPO,644639791.0,2022-05-26,226
Bailey Inc,Gaming,UK,Seed,453264.0,2023-12-18,30
"Kent, Dunn and Peters",E-commerce,UK,Seed,106359.0,2017-09-11,318
Briggs-Cox,Finance,Australia,Series A,6750074.0,2023-06-17,494
Weber PLC,SaaS,Australia,Series B,37218428.0,2022-09-19,214
Moreno-Gordon,Tech,Netherlands,Series A,4345260.0,2024-06-11,454
